model,attack,clean_acc_mean,clean_acc_std,clean_acc_ci_lo,clean_acc_ci_hi,attacked_acc_mean,attacked_acc_std,attacked_acc_ci_lo,attacked_acc_ci_hi,acc_drop_mean,acc_drop_std,acc_drop_ci_lo,acc_drop_ci_hi,asr_mean,asr_std,asr_ci_lo,asr_ci_hi,use_sim_mean,use_sim_std,use_sim_ci_lo,use_sim_ci_hi,pct_changed_mean,pct_changed_std,pct_changed_ci_lo,pct_changed_ci_hi
bert-base,pwws,1.0,0.0,1.0,1.0,0.1522,0.0,0.1522,0.1522,0.8478,0.0,0.8478,0.8478,0.8478,0.0,0.8478,0.8478,0.7888,0.0,0.7888,0.7888,0.1602,0.0,0.1602,0.1602
bert-base,textfooler,1.0,0.0,1.0,1.0,0.0217,0.0,0.0217,0.0217,0.9783,0.0,0.9783,0.9783,0.9783,0.0,0.9783,0.9783,0.7775,0.0,0.7775,0.7775,0.1601,0.0,0.1601,0.1601
bert-tiny,pwws,1.0,0.0,1.0,1.0,0.0843,0.0,0.0843,0.0843,0.9157,0.0,0.9157,0.9157,0.9157,0.0,0.9157,0.9157,0.8452,0.0,0.8452,0.8452,0.1207,0.0,0.1207,0.1207
bert-tiny,textfooler,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8333,0.0,0.8333,0.8333,0.1194,0.0,0.1194,0.1194
distilbert,pwws,1.0,0.0,1.0,1.0,0.117,0.0,0.117,0.117,0.883,0.0,0.883,0.883,0.883,0.0,0.883,0.883,0.8049,0.0,0.8049,0.8049,0.1429,0.0,0.1429,0.1429
distilbert,textfooler,1.0,0.0,1.0,1.0,0.0213,0.0,0.0213,0.0213,0.9787,0.0,0.9787,0.9787,0.9787,0.0,0.9787,0.9787,0.8122,0.0,0.8122,0.8122,0.139,0.0,0.139,0.139
